PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
AZUM;FUT ON EBRO FOODS;SINGLE STOCK FUTURES;AZUM=A GR Equity;0#EBRO8:
B2A;FUT ON BAE SYSTEMS DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;B2A=A GR Equity;0#B2A:
B2AC;Bank of Amer. Div Futures;SINGLE STOCK DIVIDEND FUTURES;B2AC=A GR Equity;0#B2AC:
B2AE;FUT ON JULIUS BAER DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;B2AE=A GR Equity;0#B2AE:
B2AS;BASF DIVIDEND FUTURE;SINGLE STOCK DIVIDEND FUTURES;B2AS=A GR Equity;0#B2AS:
B2AT;FUT ON BAT DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;B2AT=A GR Equity;0#B2AT:
B2AY;BAYER DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;B2AY=A GR Equity;0#B2AY:
B2G;ROYAL DUTCH B-SHARES DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;B2G=A GR Equity;0#B2G:
B2LT;BHP BILLITON DIVIDEND BASKET;SINGLE STOCK DIVIDEND FUTURES;B2LT=A GR Equity;0#B2LT:
B2MW;BMW DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;B2MW=A GR Equity;0#B2MW:
B2MY;Bristol-Myers Squ. Div Futures;SINGLE STOCK DIVIDEND FUTURES;B2MY=A GR Equity;0#B2MY:
B2NP;BNP PARIBAS DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;B2NP=A GR Equity;0#B2NP:
B2P;BP PLC DIVIDEND FUTURES;SINGLE STOCK DIVIDEND FUTURES;B2P=A GR Equity;0#B2P:
B2SN;DANONE DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;B2SN=A GR Equity;0#B2SN:
B2T;BT GROUP PLC DIVIDEND FUTURES;SINGLE STOCK DIVIDEND FUTURES;B2T=A GR Equity;0#B2T:
B2YG;FUT ON BOUYGUES SA DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;B2YG=A GR Equity;0#B2YG:
B3AR;FUT ON BARCLAYS DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;B3AR=A GR Equity;0#B3AR:
B3AY;FUT ON BAYER DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;B3AY=A GR Equity;0#B3AY:
B3BV;BBVA DIVIDEND FUTURE;SINGLE STOCK DIVIDEND FUTURES;B3BV=A GR Equity;0#B3BV:
B3LT;FUT ON BHP BILLITON DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;B3LT=A GR Equity;0#B3LT:
B4B;OPT ON METRO AG;SINGLE STOCK OPTIONS;B4B GY Equity;0#B4B*.EX
B4BG;FUT ON METRO AG;SINGLE STOCK FUTURES;B4BG=A GR Equity;0#B4B:
BABF;FUT ON Alibaba Group;SINGLE STOCK FUTURES;BABF=A GR Equity;0#BABF:
BACF;FUT ON BANK OF AMERICA CORP.;SINGLE STOCK FUTURES;BACF=A GR Equity;0#BACF:
BAEI;FUT ON JULIUS BAER GRUPPE;SINGLE STOCK FUTURES;BAEI=A GR Equity;0#BAER4:
BAEN;OPTION ON JULIUS BAER GRUPPE;SINGLE STOCK OPTIONS;BAER SW Equity;0#BAEN*.EX
BAFF;FUT ON BAE SYSTEMS PLC;SINGLE STOCK FUTURES;BAFF=A GR Equity;0#BAES:
BAKG;FUT ON BANKINTER;SINGLE STOCK FUTURES;BAKG=A GR Equity;0#BKT2:
BAKP;FUT ON Bankinter SA;SINGLE STOCK FUTURES;BAKP=A GR Equity;0#BAKP:
BALF;FUT ON BALOISE HOLDING AG;SINGLE STOCK FUTURES;BALF=A GR Equity;0#BALN:
BALN;OPT ON BALOISE HOLDING AG;SINGLE STOCK OPTIONS;BALN SW Equity;0#BALN*.EX
BARH;FUT ON BARCLAYS PLC;SINGLE STOCK FUTURES;BARH=A GR Equity;0#BARF3:
BARN;OPT ON BARRY CALLEBAUT AG;SINGLE STOCK OPTIONS;BARN SE Equity;0#BARN*.EX
BAS;OPT ON BASF SE;SINGLE STOCK OPTIONS;BAS GR Equity ;0#BASFn*.EX
BAS1;1ST FRIDAY OPT ON BASF;SINGLE STOCK OPTIONS;BAS GR Equity;0#BASFn1W*.EX
BAS2;2ND FRIDAY OPT ON BASF;SINGLE STOCK OPTIONS;BAS GR Equity;0#BASFn2W*.EX
BAS4;4TH FRIDAY OPT ON BASF;SINGLE STOCK OPTIONS;BAS GR Equity;0#BASFn4W*.EX
BAS5;5TH FRIDAY OPT ON BASF;SINGLE STOCK OPTIONS;BAS GR Equity;0#BASFn5W*.EX
